"data"	"variant"	"q"	"k"	"l"	"Tani"	"filesizea"	"filesizeb"	"realpositives"	"tp"	"fp"	"tn"	"fn"	"recall"	"precision"	"Fmeasure"	"RMSE"
"German Telephone CD 20% errors"	"Optimal Parameter choice (BIC)"	"1"	"1"	"500"	"0.95"	"10000"	"10000"	"10000"	"8615"	"3"	"1385"	"99989997"	"0.8615"	"0.999651891390114"	"0.930575945695057"	"0.0190468132254322"
"German Telephone CD 20% errors"	"Optimal Parameter choice (BIC)"	"1"	"1"	"500"	"0.9"	"10000"	"10000"	"10000"	"9279"	"43"	"721"	"99989957"	"0.9279"	"0.995387255953658"	"0.961643627976829"	"0.0190468132254322"
"German Telephone CD 20% errors"	"Optimal Parameter choice (BIC)"	"1"	"1"	"500"	"0.85"	"10000"	"10000"	"10000"	"9676"	"196"	"324"	"99989804"	"0.9676"	"0.980145867098866"	"0.973872933549433"	"0.0190468132254322"
"German Telephone CD 20% errors"	"Optimal Parameter choice (BIC)"	"1"	"1"	"500"	"0.8"	"10000"	"10000"	"10000"	"9875"	"1040"	"125"	"99988960"	"0.9875"	"0.904718277599634"	"0.946109138799817"	"0.0190468132254322"
"German Telephone CD 20% errors"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"1"	"10000"	"10000"	"10000"	"8056"	"0"	"1944"	"99990000"	"0.8056"	"1"	"0.9028"	"0.0190468132254322"
"German Telephone CD 20% errors"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.95"	"10000"	"10000"	"10000"	"8103"	"0"	"1897"	"99990000"	"0.8103"	"1"	"0.90515"	"0.0190468132254322"
"German Telephone CD 20% errors"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.9"	"10000"	"10000"	"10000"	"8213"	"0"	"1787"	"99990000"	"0.8213"	"1"	"0.91065"	"0.0190468132254322"
"German Telephone CD 20% errors"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.85"	"10000"	"10000"	"10000"	"8465"	"1"	"1535"	"99989999"	"0.8465"	"0.999881880463029"	"0.923190940231514"	"0.0190468132254322"
"German Telephone CD 20% errors"	"50%-Rule Parameter choice"	"2"	"17"	"500"	"0.8"	"10000"	"10000"	"10000"	"8759"	"7"	"1241"	"99989993"	"0.8759"	"0.999201460187086"	"0.937550730093543"	"0.0190468132254322"
"German Telephone CD 20% errors"	"Optimal Parameter choice (RSM)"	"1"	"1"	"500"	"1"	"10000"	"10000"	"10000"	"8494"	"1"	"1506"	"99989999"	"0.8494"	"0.999882283696292"	"0.924641141848146"	"0.162638534018939"
